ID,Label,Class,Department,Price,Cost
SK14424,Waterproof Hiking Boots,Jewelry,Men's Apparel, $144.99 , $17.25 
SK14528,Performance Swim Trunks,Footwear,Unisex Accessories, $114.99 , $41.51 
SK14566,Feather Embellished Fedora,Outerwear,Sportswear, $184.99 , $193.87 
SK14651,Floral Chiffon Wrap Dress,Tops,Footwear, $159.99 , $110.23 
SK14807,Bamboo Fiber Boxer Briefs,Accessories,Men's Apparel, $89.99 , $7.74 
SK14940,Woven Straw Sun Hat,Footwear,Women's Apparel, $99.99 , $9.70 
SK14945,Silk Embroidered Kimono,Bottoms,Women's Apparel, $74.99 , $12.30 
SK14974,Asymmetrical Hem Skirt,Bottoms,Footwear, $184.99 , $19.98 
SK15217,Wool Fedora Hat,Footwear,Sportswear, $99.99 , $86.49 
SK15290,Fleece Jogger Sweatpants,Footwear,Sportswear, $79.99 , $45.67 
SK15291,Cuffed Jogger Pants,Outerwear,Sportswear, $114.99 , $52.90 
SK15526,Relaxed Fit Cargo Pants,Bottoms,Women's Apparel, $199.99 , $80.80 
SK15631,Velvet Slip Dress,Tops,Footwear, $164.99 , $106.75 
SK15722,Cashmere Turtleneck Sweater,Accessories,Men's Apparel, $99.99 , $91.79 
SK15739,High-Waisted Bikini Set,Outerwear,Sportswear, $64.99 , $69.34 
SK15761,Minimalist Gold Necklace,Jewelry,Sportswear, $74.99 , $71.47 
SK16210,Oversized Cat-Eye Sunglasses,Outerwear,Men's Apparel, $119.99 , $117.83 
SK16364,Minimalist Silver Ring,Outerwear,Women's Apparel, $64.99 , $49.59 
SK16370,Sherpa Lined Denim Jacket,Jewelry,Men's Apparel, $189.99 , $28.69 
SK16474,Cropped Faux Leather Jacket,Outerwear,Women's Apparel, $39.99 , $21.03 
SK16642,Tassel Fringe Handbag,Tops,Men's Apparel, $134.99 , $20.79 
SK16722,Reflective Running Vest,Jewelry,Sportswear, $154.99 , $112.21 
SK16745,Classic Denim Jacket,Footwear,Footwear, $24.99 , $22.29 
SK16750,Faux Leather Leggings,Outerwear,Unisex Accessories, $64.99 , $43.02 
SK16871,Woven Straw Sun Hat,Bottoms,Sportswear, $9.99 , $0.80 
SK17623,Silk Embroidered Kimono,Footwear,Footwear, $134.99 , $48.06 
SK17867,High-Slit Maxi Dress,Tops,Unisex Accessories, $9.99 , $7.85 
SK18018,Fleece-Lined Parka,Tops,Footwear, $59.99 , $17.40 
SK18148,Silk Neck Scarf,Bottoms,Men's Apparel, $114.99 , $120.62 
SK18224,Unisex Oversized Sweatshirt,Accessories,Men's Apparel, $134.99 , $106.64 
SK18623,Textured Knit Pullover,Jewelry,Men's Apparel, $34.99 , $33.38 
SK18665,Luxury Silk Tie,Tops,Footwear, $54.99 , $20.95 
SK18753,Rugged Utility Jacket,Outerwear,Women's Apparel, $29.99 , $20.69 
SK18791,Retro-Inspired Sunglasses,Jewelry,Unisex Accessories, $79.99 , $82.55 
SK19521,High-Slit Maxi Dress,Outerwear,Footwear, $14.99 , $6.49 
SK19547,Boho Style Tassel Earrings,Outerwear,Men's Apparel, $104.99 , $11.02 
SK19857,Metallic Hoop Earrings,Bottoms,Unisex Accessories, $84.99 , $35.61 
